MLC ID,Commitment,Reporting Lead,All ministers
164,"Establish a single, independent ombudsperson, with the power to impose binding arbitration, to address consumer complaints involving banks.",Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
165,Crack down on predatory lenders by lowering the criminal rate of interest.,Deputy Prime Minister and Minister of Finance,"Deputy Prime Minister and Minister of Finance; Minister of Justice and Attorney General of Canada; Minister of Innovation, Science and Industry"
166,Advance legislation to enhance the powers of the Financial Consumer Agency of Canada to review bank fees and charges and to require adjustments if they are excessive.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance
170,"Lower the average overall cost of interchange fees for merchants, ensuring that small businesses benefit and protecting existing reward points of consumers.",Deputy Prime Minister and Minister of Finance,"Deputy Prime Minister and Minister of Finance; Minister of International Trade, Export Promotion, Small Business and Economic Development"
172,Introduce legislation to establish a new Multigenerational Home Renovation tax credit.,Deputy Prime Minister and Minister of Finance,Deputy Prime Minister and Minister of Finance; Minister of National Revenue
200,"Ensure that the essential work of Parliament continues in an effective and efficient manner, while respecting the continued need to innovate to respond to the realities of the COVID-19 pandemic.",Leader of the Government in the House of Commons,Leader of the Government in the House of Commons
201,Support the maintenance of the vaccine mandate in the House of Commons and the Senate.,Leader of the Government in the House of Commons,Leader of the Government in the House of Commons
202,Bring a collaborative and effective approach to the minority Parliament via the House Leadership team.,Leader of the Government in the House of Commons,Leader of the Government in the House of Commons
203,Ensure that the House of Commons is a healthy and safe workplace for all employees.,Leader of the Government in the House of Commons,Leader of the Government in the House of Commons
204,Introduce new technology and other institutional changes to better connect Members of Parliament with their constituents.,Leader of the Government in the House of Commons,Leader of the Government in the House of Commons
205,Develop a plan to make Parliament a more inclusive place for families and to respond with greater agility in the event of a future national health crisis.,Leader of the Government in the House of Commons,Leader of the Government in the House of Commons; President of the Queen’s Privy Council for Canada and Minister of Emergency Preparedness; President of the Treasury Board; Minister of Health
206,Promote free votes in parliament and limit the circumstances in which Liberal Members of Parliament will be required to vote with the Government.,Leader of the Government in the House of Commons,Leader of the Government in the House of Commons
207,Update the Parliament of Canada Act to reflect the Senate’s non-partisan role.,Leader of the Government in the House of Commons,Leader of the Government in the House of Commons
301,Sustain funding commitments to Canadian women’s organizations and equality-seeking groups.,Minister for Women and Gender Equality and Youth,Minister for Women and Gender Equality and Youth
302,"Collaborate with women’s movements, organizations, experts and advocates on public policy relating to women and gender equality.",Minister for Women and Gender Equality and Youth,"Minister for Women and Gender Equality and Youth; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Families, Children and Social Development; Minister of Seniors; Minister of Innovation, Science and Industry; Minister of Health; Minister of Mental Health and Addictions and Associate Minister of Health; Minister of Labour; 
Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency; 
Minister of Housing and Diversity and Inclusion; President of the Treasury Board; Minister of Public Safety; Minister of Immigration, Refugees and Citizenship; Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec; Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada"
303,Carry out the evaluation process of GBA Plus to enhance its framing and parameters.,Minister for Women and Gender Equality and Youth,"Minister for Women and Gender Equality and Youth; Minister of Housing and Diversity and Inclusion; Minister of Crown-Indigenous Relations; Minister of Rural Economic Development; Minister of Tourism and Associate Minister of Finance; Minister of Employment, Workforce Development and Disability Inclusion; 
President of the Treasury Board; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Families, Children and Social Development; Minister of Labour; Minister of Official Languages and Minister responsible for the Atlantic Canada Opportunities Agency; Minister of Environment and Climate Change; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency; 
Minister of Immigration, Refugees and Citizenship; Minister of Seniors"
304,Strengthen the Department of Women and Gender Equality as a centre of expertise for advancing gender equality and supporting the application of GBA Plus across government decision-making processes.,Minister for Women and Gender Equality and Youth,Minister for Women and Gender Equality and Youth
305,"Develop a 10-year National Action Plan to End Gender-Based Violence, begin negotiations with Provinces and Territories, and accelerate the establishment of a dedicated Secretariat.",Minister for Women and Gender Equality and Youth,"Minister for Women and Gender Equality and Youth; Minister of National Defence; Minister of Public Safety; Minister of Health; Minister of Justice and Attorney General of Canada; Minister of Immigration, Refugees and Citizenship; Minister of Housing and Diversity and Inclusion"
310,Create a Menstrual Equity Fund to make menstrual products available to vulnerable women.,Minister for Women and Gender Equality and Youth,"Minister for Women and Gender Equality and Youth;
Minister of Health"
312,Launch the Federal LGBTQ2 Action Plan and provide capacity funding to LGBTQ2 service organizations.,Minister for Women and Gender Equality and Youth,"Minister for Women and Gender Equality and Youth; Minister of Health; Minister of Justice and Attorney General of Canada; Minister of National Defence; Minister of Housing and Diversity and Inclusion; Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; 
Minister of Immigration, Refugees and Citizenship; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec; Minister of Public Safety; Minister of Veterans Affairs and Associate Minister of National Defence; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Seniors; Minister of Labour; Minister of Finance; Minister of Crown-Indigenous Relations; Minister of Innovation, Science and Industry; President of the Treasury Board"
313,"Continue the work of the LGBTQ2 Secretariat to promote LGBTQ2 equality at home and abroad, protect LGBTQ2 rights and address discrimination against LGBTQ2 communities.",Minister for Women and Gender Equality and Youth,"Minister for Women and Gender Equality and Youth; Minister of Health; Minister of Justice and Attorney General of Canada; Minister of National Defence; Minister of Housing and Diversity and Inclusion; Minister of Foreign Affairs; Minister of International Development and Minister responsible for the Pacific Economic Development Agency of Canada; 
Minister of Immigration, Refugees and Citizenship; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Sport and Minister responsible for the Economic Development Agency of Canada for the Regions of Quebec; 
Minister of Public Safety; Minister of Veterans Affairs and Associate Minister of National Defence; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Seniors; Minister of Labour; Deputy Prime Minister and Minister of Finance; Minister of Crown-Indigenous Relations; Minister of Innovation, Science and Industry; President of the Treasury Board"
315,Implement Canada’s Youth Policy and build upon the six priority areas included in Canada’s first State of Youth Report.,Minister for Women and Gender Equality and Youth,Minister for Women and Gender Equality and Youth
316,Serve as Vice-Chair of the Prime Minister’s Youth Council and support its work.,Minister for Women and Gender Equality and Youth,Minister for Women and Gender Equality and Youth
317,Scale up youth and student skills and employment programming and initiatives for Canadian youth.,Minister for Women and Gender Equality and Youth,"Minister for Women and Gender Equality and Youth; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Agriculture and Agri-Food; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Environment and Climate Change; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Immigration, Refugees and Citizenship; Minister of Innovation, Science and Industry; Minister of Natural Resources; Minister of Housing and Diversity and Inclusion"
318,Create a new stream of the Youth Employment and Skills Strategy for Canadians with disabilities.,Minister for Women and Gender Equality and Youth,"Minister for Women and Gender Equality and Youth; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Agriculture and Agri-Food; Minister of International Trade, Export Promotion, Small Business and Economic Development; 
Minister of Canadian Heritage and Quebec Lieutenant; Minister of Environment and Climate Change; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Immigration, Refugees and Citizenship; Minister of Innovation, Science and Industry; 
Minister of Natural Resources; Minister of Housing and Diversity and Inclusion"
319,Expand and diversify the Canada Service Corps.,Minister for Women and Gender Equality and Youth,Minister for Women and Gender Equality and Youth
400,"Update business risk management programs, integrating climate risk management, environmental practices and climate readiness.",Minister of Agriculture and Agri-Food,Minister of Agriculture and Agri-Food
401,Develop a sector-specific Agricultural Labour Strategy to address labour shortages.,Minister of Agriculture and Agri-Food,"Minister of Agriculture and Agri-Food; Minister of Employment, Workforce Development and Disability Inclusion; Minister of Immigration, Refugees and Citizenship; Deputy Prime Minister and Minister of Finance"
402,"As part of a green agricultural plan for Canada, increase support to farmers to develop and adopt agricultural management practices to reduce emissions, store carbon in healthy soil and enhance resiliency; triple funding for clean tech on farms; and reduce methane and fertilizer emissions in the agricultural sector.",Minister of Agriculture and Agri-Food,Minister of Agriculture and Agri-Food; Minister of Environment and Climate Change
407,Prevent the introduction of African swine fever within Canadian borders and continue to work on prevention and preparedness measures.,Minister of Agriculture and Agri-Food,Minister of Agriculture and Agri-Food; Minister of Public Safety
408,"Protect supply-managed agricultural sectors, including by providing full and fair compensation with respect to the Canada-United States-Mexico Agreement (CUSMA) and making this determination within the first year of the mandate.",Minister of Agriculture and Agri-Food,"Minister of Agriculture and Agri-Food; Minister of International Trade, Export Promotion, Small Business and Economic Development"
410,Develop the next agricultural policy framework.,Minister of Agriculture and Agri-Food,Minister of Agriculture and Agri-Food
412,Develop a National School Food Policy and work toward a national school nutritious meal program.,Minister of Agriculture and Agri-Food,"Minister of Agriculture and Agri-Food; Minister of Families, Children and Social Development"
413,"Create a No-Waste Food Fund to eliminate, reduce or repurpose food waste.",Minister of Agriculture and Agri-Food,Minister of Agriculture and Agri-Food; Minister of Environment and Climate Change
415,Support food producers who choose alternative pest management approaches that reduce the need for chemical pesticides.,Minister of Agriculture and Agri-Food,Minister of Agriculture and Agri-Food; Minister of Health; Minister of Environment and Climate Change
416,Explore next steps to modernize the Canada Grain Act.,Minister of Agriculture and Agri-Food,Minister of Agriculture and Agri-Food
419,Ban the live export of horses for slaughter.,Minister of Agriculture and Agri-Food,"Minister of Agriculture and Agri-Food; Minister of International Trade, Export Promotion, Small Business and Economic Development; Minister of Justice and Attorney General of Canada"
501,"Hold a national summit on plans to restart and position the arts, culture and heritage sectors for the future.",Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
502,Ensure sufficient compensation is available for media production stoppages related to COVID-19.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
503,Launch an Arts and Culture Recovery Program to mitigate the impacts of reduced capacity in cultural venues.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
504,Implement a COVID-19 transitional support program to provide emergency relief to artists and cultural workers.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
505,"Work on the planning, design and construction of a national monument in Ottawa to honour residential school survivors.",Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
506,"Ensure that the Indigenous Languages Act continues to be fully implemented and is supported by long-term, predictable and sustainable funding.",Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
508,"Amend the Copyright Act to further protect artists, creators and copyright holders.",Minister of Canadian Heritage and Quebec Lieutenant,"Minister of Canadian Heritage and Quebec Lieutenant; Minister of Innovation, Science and Industry"
509,Reintroduce legislation to reform the Broadcasting Act to ensure foreign web giants contribute to the creation and promotion of Canadian stories and music.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
510,Introduce legislation to require digital platforms that generate revenues from the publication of news content to share a portion of their revenues with Canadian news outlets to level the playing field between global platforms and Canadian outlets.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
511,Develop and introduce legislation to combat serious forms of harmful online content to protect Canadians and hold social media platforms and other online services accountable for the content they host.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant; Minister of Justice and Attorney General of Canada
514,Increase funding to Telefilm Canada and the Canada Media Fund.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
515,Increase the proportion of funding for French audiovisual content at Telefilm Canada and the Canada Media Fund from 33 per cent to 40 per cent.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
516,Provide the Indigenous Screen Office with additional ongoing funding.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
517,Increase annual contributions to the Canada Music Fund.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
520,"Increase funding for the Canada Book Fund, the Canada Council for the Arts and the Public Lending Right Program.",Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
522,Support productions led by people from equity-deserving groups in the Canadian audiovisual industry.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant; Minister of Housing and Diversity and Inclusion
523,Invest in the Local Journalism Initiative to support the production of news in underserved communities.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant; Minister of Housing and Diversity and Inclusion
524,"Develop a new Changing Narratives Fund to provide diverse communities with the tools to tell their own stories and to promote diverse voices in arts, culture and media.",Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant; Minister of Housing and Diversity and Inclusion
526,Modernize CBC/Radio-Canada in a manner that respects the public broadcaster’s independence.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
534,"Modernize the institutions and funding tools that support Canada’s audiovisual sector, to make funding platform-agnostic and open to more traditionally under-represented storytellers, while promoting Canadian productions and ensuring that Canadians are better equipped to own, and benefit from, the content that they produce.",Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
536,Increase the funding for the Court Challenges Program.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant; 
537,Build an international coalition to develop a new UNESCO convention on the diversity of content online.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant; Minister of Foreign Affairs
538,Contribute to the funding of Saint-Jean-Baptiste Day celebrations in Quebec and across the country and support other important celebrations for French language communities.,Minister of Canadian Heritage and Quebec Lieutenant,Minister of Canadian Heritage and Quebec Lieutenant
601,Provide funding towards the construction of a permanent home for the National Centre for Truth and Reconciliation.,Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations
602,Ensure the National Centre for Truth and Reconciliation has sustained financial resources to successfully fulfil its mandate.,Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations
603,Accelerate the implementation of the Truth and Reconciliation Commission’s Calls to Action.,Minister of Crown-Indigenous Relations,"Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Justice and Attorney General of Canada; Minister of Canadian Heritage and Quebec Lieutenant; Minister of Families, Children and Social Development; Minister of Environment and Climate Change; Minister of Immigration, Refugees and Citizenship; Minister of Innovation, Science and Industry; Minister of Public Safety; President of the Treasury Board"
604,"Accelerate the implementation of the Federal Pathway to Address Missing and Murdered Indigenous Women, Girls and 2SLGBTQQIA+.",Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister for Women and Gender Equality and Youth
605,Support the implementation of the 2021 MMIWG and 2SLGBTQQIA+ National Action Plan.,Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister for Women and Gender Equality and Youth
614,"Accelerate the Recognition of Indigenous Rights and Self-determination processes, with particular focus on reforming federal government structures.",Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations
615,Accelerate work to redesign federal policies on additions-to-reserves to provide just and timely resolution.,Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario
616,Accelerate the resolution of outstanding land claims.,Minister of Crown-Indigenous Relations,Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Justice and Attorney General of Canada
617,Meet regularly with the Assembly of First Nations and rights holders to make progress on First Nations priorities.,Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations
618,"Work with existing and traditional Indigenous governments and leaders to restore respectful nation-to-nation relations, in the spirit of self-determination, by renewing and updating treaty relationships where they exist, including pre-confederation treaties, and by seeking viable, trusting and respectful relationships where no treaty exists.",Minister of Crown-Indigenous Relations,Minister of Crown-Indigenous Relations
619,Finalize a co-developed Inuit Nunangat Policy and accelerate its implementation.,Minister of Crown-Indigenous Relations,"Minister of Crown-Indigenous Relations; Minister of Indigenous Services and Minister responsible for the Federal Economic Development Agency for Northern Ontario; Minister of Northern Affairs, Minister responsible for Prairies Economic Development Canada, and Minister responsible for the Canadian Northern Economic Development Agency"
