ID,Commitment,Reporting Lead,Reporting Lead Name,All ministers
LPC-016,"Make rural and small communities more affordable and accessible through investing an additional $250 million in the Rural Transit Solutions Fund.","Secretary of State (Rural Development)","Buckley Belanger","Minister of Transport and Internal Trade; Minister of Housing and Infrastructure; Minister of Finance"
LPC-017,"Invest in digital infrastructure for the economy of tomorrow. Catalyze the construction and development of AI infrastructure including data storage facilities, computing capacity, high speed, safe and reliable communication networks, and digital supply chain solutions to improve efficiency and reduce costs for Canadians. This will include improving rural broadband and reliable cell service that connects communities.","Minister of Artificial Intelligence and Digital Innovation","Evan Solomon","Minister of Industry; Secretary of State (Rural Development); Minister of Finance"
LPC-018,"Provide disaster mitigation and recovery funding where infrastructure that connects Canada is under threat.","Minister of Emergency Management and Community Resilience","Eleanor Olszewski","Minister of Housing and Infrastructure; Minister of Public Safety; Minister of Environment and Climate Change; Minister of Finance"
LPC-019,"Build critical health infrastructure like hospitals, clinics, and long-term care facilities by working with provinces and territories.","Minister of Health","Marjorie Michel","Minister of Housing and Infrastructure; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Finance"
LPC-020,"Build community infrastructure that brings communities together. Engage with municipalities that make progress on housing first.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Emergency Management and Community Resilience"
LPC-021,"Make buildings more accessible by increasing funding to the Enabling Accessibility Fund to ensure that workplaces are accessible and incorporating more barrier-free and barrier-free ready designs into upcoming housing catalogues and into Canada's building efforts so that new housing is accessible to all Canadians.","Minister of Jobs and Families","Patty Hajdu","Minister of Housing and Infrastructure; Minister of Government Transformation, Public Works and Procurement; Minister of Finance"
LPC-022,"Get big projects built quickly by establishing “One Window” project decisions through a Major Federal Project Office and effectively shifting the focus of project review from “why” to “how.”","President of the Treasury Board","Shafqat Ali","Minister of Government Transformation, Public Works and Procurement; Minister of Housing and Infrastructure; Minister of Energy and Natural Resources; Minister of Transport and Internal Trade"
LPC-023,"Require the new Major Federal Project Office to render final decisions on projects on a maximum two-year timeline, much faster than the former government's five-year timeline.","President of the Treasury Board","Shafqat Ali","Minister of Justice and Attorney General of Canada"
LPC-024,"Move forward with One Project, One Review. Within six months, sign Cooperation and Substitution Agreements with all willing Premiers, as well as Indigenous Governing Bodies, allowing the federal government to recognize provincial, territorial, and Indigenous-led assessments.","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy","Dominic LeBlanc","Minister of Environment and Climate Change; Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Justice and Attorney General of Canada"
LPC-025,"Advance Indigenous participation in major projects to ensure First Nations, Inuit and Métis rights-holders are a part of Canada's accelerated push to build.","Minister of Crown-Indigenous Relations","Rebecca Alty","Minister of Indigenous Services; Minister of Housing and Infrastructure; Minister of Energy and Natural Resources; Minister of Finance"
LPC-026,"Double capacity support so more Indigenous communities can take an active role in project decisions at various stages, and to improve meaningful and immediate participation.","Minister of Indigenous Services","Mandy Gull-Masty","Minister of Crown-Indigenous Relations; Minister of Finance"
LPC-027,"Enshrine and protect CBC/Radio Canada by introducing legislation to establish statutory funding.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Finance; Leader of the Government in the House of Commons; Minister of Justice and Attorney General of Canada"
LPC-028,"Strengthen CBC/Radio Canada's mandate by: Developing a governance plan with CBC/Radio Canada to improve accountability, empower leadership, streamline processes and tap into the spirit of innovation.","Minister of Canadian Identity and Culture","Steven Guilbeault",""
LPC-029,"Strengthen CBC/Radio Canada's mandate by: Equipping them to further promote and support Canadian culture including Quebec's unique culture, which is at the heart of our national identity.","Minister of Canadian Identity and Culture","Steven Guilbeault",""
LPC-030,"Strengthen CBC/Radio Canada's mandate by: Strengthening local news, so that all Canadians have access to timely, relevant and reliable news.","Minister of Canadian Identity and Culture","Steven Guilbeault",""
LPC-031,"Strengthen CBC/Radio Canada's mandate by: Adding to their mandate the clear and consistent transmission of life-saving information during emergencies.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Public Safety; Minister of Emergency Management and Community Resilience"
LPC-032,"Strengthen CBC/Radio Canada's mandate by: Including a commitment of including Indigenous perspectives.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Crown-Indigenous Relations; Minister of Indigenous Services"
LPC-033,"Strengthen CBC/Radio Canada's mandate by: Fully equipping them to combat disinformation so that Canadians have a news source they know and trust.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Public Safety"
LPC-034,"Strengthen CBC/Radio Canada's mandate by: Bolstering innovation and investing in new digital tools so that they can deliver the news when and how Canadians want it.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Artificial Intelligence and Digital Innovation"
LPC-035,"Provide an initial $150 million boost in annual funding while directing CBC/Radio Canada to develop a strategic plan consistent with this new mandate. Work towards bringing CBC/Radio Canada's long-term funding levels in line with the average funding of other national public broadcasters over time.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Finance; President of the Treasury Board"
LPC-036,"Support Canadian artists and creators by increasing funding to agencies such as the Canada Council for the Arts, Telefilm, the Canada Media Fund, and the National Film Board, recognizing the economic importance of Canada's creative industries and creators.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Finance"
LPC-037,"Introduce a Canada Strong Pass for three months this summer. The Canada Strong Pass will provide children and youth under the age of 18 with free access to Canada's incredible national galleries and museums, and free seats on VIA Rail when they travel with their parents. Work with willing provinces and territories to establish similar pricing structures in our beautiful provincial museums and galleries. This pass will be available from June to August 2025. Also introduce heavily discounted access and fares for young Canadians aged 18-24.","Minister of Canadian Identity and Culture","Steven Guilbeault","Minister of Transport and Internal Trade; Secretary of State (Children and Youth); Minister of Finance; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-038,"Make access to National Parks and Historic Sites free this summer for everyone. Also reduce prices for camping sites in national parks for all Canadians from June to August.","Minister of Environment and Climate Change","Julie Dabrusin","Secretary of State (Nature); Minister of Finance"
LPC-039,"Make it easy for Canadians to Buy Canadian. Working with retailers, agricultural producers, manufacturers, food and beverage companies, and by maximizing Canada's supply chain increase transparency and increase stringency in origin of product labelling so that it is simple, clear, and easy to identify what is a truly Canadian product. Provide support to help manufacturers adapt and for the Competition Bureau to enforce these new requirements.","Minister of Industry","Mélanie Joly","Minister of Agriculture and Agri-Food; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Finance"
LPC-040,"Deploy a made-in-Canada procurement strategy that prioritizes, whenever possible, Canadian suppliers and supply chains, and limiting bidders from foreign suppliers to bidding only on what we have agreed to in Canada's Free Trade Agreements. Prioritize Canadian contractors in our defence procurement, including the Canadian aerospace industry. Crown Corporations with major capital acquisitions, like VIA Rail, will also be encouraged to meet this standard.","Minister of Government Transformation, Public Works and Procurement","Joël Lightbound","Secretary of State (Defence Procurement); Minister of National Defence; Minister of Industry; Minister of Transport and Internal Trade; President of the Treasury Board"
LPC-041,"Buy Canadian clean by prioritizing Government of Canada purchases to be low carbon emission and when applicable, sustainability certified products and materials. This includes building materials, vehicle fleets, and other goods and services.","Minister of Government Transformation, Public Works and Procurement","Joël Lightbound","Minister of Environment and Climate Change; President of the Treasury Board; Minister of Industry"
LPC-042,"Establish Buy Canadian standards for federal infrastructure funding including maximizing Canadian steel, aluminum, and forestry products.","Minister of Housing and Infrastructure","Gregor Robertson","Minister of Industry; Minister of Energy and Natural Resources; Minister of Government Transformation, Public Works and Procurement"
LPC-043,"Leverage government funding to prioritize and procure Canadian-built vehicles, catalyzing domestic investment to grow the Canadian auto industry.","Minister of Industry","Mélanie Joly","Minister of Government Transformation, Public Works and Procurement; Minister of Transport and Internal Trade; Minister of Finance"
LPC-044,"Bet on Canadian innovators and entrepreneurs by leveraging the government's purchasing power to drive Canadian innovation, solving Canadian problems in new ways, and improving efficiency and service delivery, while supporting our small and medium-sized businesses.","Minister of Government Transformation, Public Works and Procurement","Joël Lightbound","Minister of Industry; Minister of Artificial Intelligence and Digital Innovation; Secretary of State (Small Business and Tourism)"
LPC-045,"Investments will be spent wisely and effectively to put Canada on track to exceed our NATO defence spending target before 2030.","Minister of National Defence","David J. McGuinty","Minister of Finance; Secretary of State (Defence Procurement)"
LPC-046,"Give a pay raise to CAF members to recognize that we are asking more of them as Canada steps up to defend our sovereignty.","Minister of National Defence","David J. McGuinty","President of the Treasury Board; Minister of Finance"
LPC-047,"Give better support to our CAF members, through investments in housing, health care, and child care. This means rapidly increasing the stock of high-quality housing on bases across the country and ensuring access to primary child care and health care – including mental health supports - for serving members and their families.","Minister of National Defence","David J. McGuinty","Minister of Housing and Infrastructure; Minister of Health; Minister of Jobs and Families; Secretary of State (Children and Youth); Minister of Finance"
LPC-048,"Modernize our recruitment process, including by streamlining security clearances and applying online, so that more applicants can get trained, faster.","Minister of National Defence","David J. McGuinty","President of the Treasury Board"
LPC-049,"Address the external recommendations to combat military sexual misconduct.","Minister of National Defence","David J. McGuinty","Minister of Justice and Attorney General of Canada"
LPC-050,"Expand our ability to monitor our coastlines and secure Canada's Arctic, including with new submarines for the Royal Canadian Navy and additional heavy icebreakers, building on our commitment to all orders underway through the National Shipbuilding Strategy.","Minister of National Defence","David J. McGuinty","Secretary of State (Defence Procurement); Minister of Fisheries; Minister of Northern and Arctic Affairs"
LPC-051,"Expand our fleet of aerial and underwater drones to build a persistent presence in the air and sea, including persistent surveillance to protect against threats in the Arctic and at our border. Work to build Canadian industry through defence partnerships and by leveraging domestic innovations.","Minister of National Defence","David J. McGuinty","Secretary of State (Defence Procurement); Minister of Industry"
LPC-052,"Buy Canadian-made airborne early warning and control aircraft, supporting our domestic aerospace industry and accelerating the procurement process.","Minister of National Defence","David J. McGuinty","Secretary of State (Defence Procurement); Minister of Industry; Minister of Government Transformation, Public Works and Procurement"
LPC-053,"Support the Canadian Army with significant new investments, such as new self-propelled artillery systems and ground-based air defence capabilities so that the CAF have the capacity to operate in today's context.","Minister of National Defence","David J. McGuinty","Secretary of State (Defence Procurement); Minister of Finance"
LPC-054,"Give the Canadian Coast Guard a new mandate and the right equipment to conduct maritime surveillance operations to secure our coasts. Expanding the reach and abilities of the Canadian Coast Guard will also mean integrating them into Canada's NATO defence capabilities.","Minister of Fisheries","Joanne Thompson","Minister of National Defence; Minister of Public Safety; Secretary of State (Defence Procurement)"
LPC-055,"Invest in our Reserves and Canadian Rangers to give them the equipment they need to continue protecting our sovereignty and conduct domestic disaster responses that directly helps Canadians.","Minister of National Defence","David J. McGuinty","Minister of Finance; Minister of Emergency Management and Community Resilience"
LPC-056,"Establish the Bureau of Research, Engineering and Advanced Leadership in Science (BOREALIS) to ensure the Canadian Armed Forces and Communications Security Establishment have the made-in-Canada innovation solutions they need in areas such as AI, quantum computing, cybersecurity, and other advanced research and technology.","Minister of National Defence","David J. McGuinty","Minister of Artificial Intelligence and Digital Innovation; Minister of Industry; Minister of Public Safety"
LPC-057,"Overhaul defence procurement to better meet our needs and the urgency of the moment by: Establishing a new Defence Procurement Agency.","Secretary of State (Defence Procurement)","Stephen Fuhr","Minister of National Defence; Minister of Government Transformation, Public Works and Procurement; President of the Treasury Board"
LPC-058,"Overhaul defence procurement by: Amending legislation and regulations as required, including taking steps to expand risk-based approaches to approvals, to centralize expertise from across government and streamline the way we buy equipment for the military.","Secretary of State (Defence Procurement)","Stephen Fuhr","Minister of Justice and Attorney General of Canada; Minister of National Defence; Minister of Government Transformation, Public Works and Procurement; President of the Treasury Board"
LPC-059,"Overhaul defence procurement by: Buying Canadian whenever possible and prioritizing Canadian raw materials such as steel, aluminum and critical minerals.","Secretary of State (Defence Procurement)","Stephen Fuhr","Minister of Government Transformation, Public Works and Procurement; Minister of National Defence; Minister of Industry; Minister of Energy and Natural Resources"
LPC-060,"Boosting Canada's domestic defence industries and production as we build security relationships with our partners. That includes advancing Canada's involvement in the ReArm Europe Plan in support of transatlantic security, and prioritizing investment here in Canada – with every dollar spent wisely and effectively.","Minister of National Defence","David J. McGuinty","Minister of Industry; Minister of Foreign Affairs; Secretary of State (Defence Procurement); Minister of Finance"
LPC-061,"Work closely with Arctic and Northern Indigenous leadership as partners, in defence and security investments that respect their rights, incorporate traditional knowledge, and ensure community priorities are reflected, especially on targeted investments in dual-use infrastructure such as airstrips and other critical infrastructure.","Minister of Northern and Arctic Affairs and Minister responsible for the Canadian Northern Economic Development Agency","Rebecca Chartrand","Minister of National Defence; Minister of Crown-Indigenous Relations; Minister of Indigenous Services"
LPC-062,"Strengthen the presence of Canadian Armed Forces in the Arctic to protect the sovereignty of our land, air, and sea, including through a network of deepwater ports that will allow us to protect the Northwest Passage year-round.","Minister of National Defence","David J. McGuinty","Minister of Northern and Arctic Affairs; Minister of Transport and Internal Trade; Minister of Housing and Infrastructure"
LPC-063,"Move forward to detect and deter early warning radar coverage of threats to the Arctic by working with partners in Australia to develop advanced Over-the-Horizon Radar. This will also help deepen our defence and trade ties with Australia.","Minister of National Defence","David J. McGuinty","Minister of Foreign Affairs; Minister of International Trade"
LPC-064,"Invest in Northern infrastructure, including a new hydroelectricity project and other energy projects, so that people have access to safe, reliable energy; improve housing stock, accelerate housing development, and meet growing housing demand. Also invest in new port projects, railways, airstrips, and highways, all with dual-use capabilities. This work will be undertaken with Arctic and Northern Indigenous partners.","Minister of Northern and Arctic Affairs and Minister responsible for the Canadian Northern Economic Development Agency","Rebecca Chartrand","Minister of Housing and Infrastructure; Minister of Energy and Natural Resources; Minister of Transport and Internal Trade; Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Finance"
LPC-065,"Forge a new Canada-Europe Arctic security cooperation agreement that deepens ties in the North in recognition of the rapidly shifting security landscape.","Minister of Foreign Affairs","Anita Anand","Minister of Northern and Arctic Affairs; Minister of National Defence"
LPC-066,"Expand our fleet of aerial and underwater drones as well as investments in Canadian satellite technology – to build a persistent presence across the North to monitor our vast landscape and the world's longest coastline by investing in made-in-Canada innovations.","Minister of National Defence","David J. McGuinty","Minister of Northern and Arctic Affairs; Minister of Industry; Secretary of State (Defence Procurement)"
LPC-067,"Improve health services and support for women Veterans' health by launching a health research study on the experience of women Veterans to ensure proper data is collected so that its service delivery can capture the increase of women Veterans transitioning to civilian life and ultimately improve their health outcomes.","Minister of Veterans Affairs","Jill McKnight","Minister of Health; Minister of Women and Gender Equality"
LPC-068,"Modernize and streamline the benefits system, to deliver faster decisions, shorter wait times, and less paperwork so that Veterans and their families get the support they need sooner and more easily.","Minister of Veterans Affairs","Jill McKnight","President of the Treasury Board"
LPC-069,"Make it easier for Veterans to get jobs by working with provinces and territories to streamline the recognition of military trade credentials in the civilian world, so that qualified Veterans do not needlessly retrain once they leave the military. Also work to make it easier to maintain a security clearance when necessary after retirement so Veterans can continue contributing to the protection of Canadian sovereignty.","Minister of Veterans Affairs","Jill McKnight","Minister of Jobs and Families; President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Public Safety"
LPC-070,"Expand recognition of service by reviewing the designation of certain military missions, including in the Persian Gulf, so that Veterans' sacrifices in conflict zones are properly recognized. This would be done in consultation with Veterans groups, CAF, and Veterans Affairs Canada to ensure we develop clear recognition for their service.","Minister of Veterans Affairs","Jill McKnight","Minister of National Defence"
LPC-071,"Expand culturally relevant services for Indigenous Veterans in consultation with First Nation, Inuit, and Métis peoples.","Minister of Veterans Affairs","Jill McKnight","Minister of Indigenous Services; Minister of Crown-Indigenous Relations"
LPC-072,"Preserve the National Field of Honour through work with the Last Post Fund to assume ownership of the National Field of Honour in Montreal, so that it remains an appropriate and respectful final resting place for Veterans.","Minister of Veterans Affairs","Jill McKnight","Minister of Canadian Identity and Culture"
LPC-073,"Respond to existing U.S. tariffs on our economy for as long as is necessary while also ensuring that we are safeguarding Canadian industry from the threat of trade diversion. Every dollar raised from these tariffs will support Canadian workers and businesses affected by the trade war.","Minister of Finance","François-Philippe Champagne","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of International Trade; Minister of Industry"
LPC-074,"Create a $2 billion Strategic Response Fund to boost our auto sector's competitiveness, protect manufacturing jobs, support workers to upskill their expertise in the industry, and build a fortified Canadian supply chain – from raw materials to finished vehicles.","Minister of Industry","Mélanie Joly","Minister of Finance; Minister of Jobs and Families"
LPC-075,"Build an ""All-in-Canada” network for auto manufacturing component parts. With this network, work with industry to build more car parts in Canada, limit those parts crossing the border during production, and attract investment into our own industry.","Minister of Industry","Mélanie Joly","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-076,"Maximize Canada's steel, aluminum, and critical minerals - from exploration to battery production - to seize this economic opportunity, create higher-paying jobs, and build the strongest economy in the G7.","Minister of Energy and Natural Resources","Tim Hodgson","Minister of Industry; Minister of Finance"
LPC-077,"Safeguard our economy and our values and protect Canada from attempts to buy up our businesses, our core public health care, intellectual property, critical minerals and other resources by strengthening the Investment Canada Act. Make more transactions reviewable, as well as modernizing standards to capture manipulative transaction models – including by reviewing the potential impacts to Canada's data sovereignty. Also make clear that any transactions involving core infrastructure in our public health system, such as long-term care facilities and family health practices, will be subject to stringent review and protection under the Act.","Minister of Industry","Mélanie Joly","Minister of Finance; Minister of Health; Minister of Justice and Attorney General of Canada"
LPC-078,"Strengthen Canada's food security by investing in greenhouses, hydroponics, and other controlled environment agriculture that allow us to grow more types of food, here at home. Work with the private sector to protect Canadian food security.","Minister of Agriculture and Agri-Food","Heath MacDonald","Minister of Industry; Minister of Finance"
LPC-079,"Work to increase the resilience of food supply chains and support innovation.","Minister of Agriculture and Agri-Food","Heath MacDonald","Minister of Industry; Minister of Transport and Internal Trade"
LPC-080,"Amend the mandates of the Canadian Food Inspection Agency and the Pest Management Regulatory Agency to ensure they consider food security and the cost of food in all their regulatory decisions without compromising on health and safety.","Minister of Agriculture and Agri-Food","Heath MacDonald","Minister of Health"
LPC-081,"Direct the Canada Infrastructure Bank to prioritize investments in agriculture, fisheries, agri-food, and the food supply chain, particularly those that improve food security and reduce the cost of food for Canadian families, unlocking potentially billions in investment for the sector.","Minister of Finance","François-Philippe Champagne","Minister of Agriculture and Agri-Food; Minister of Fisheries; Minister of Housing and Infrastructure"
LPC-082,"Help Canadian farmers get their goods to market at low cost, particularly in Alberta, Manitoba, and Saskatchewan. Do this by extending the Extended Railway Interswitching pilot by three years. As part of our commitment to support Canadian workers, explore all options to exclude non-Canadian railways from being included in this project.","Minister of Transport and Internal Trade","Chrystia Freeland","Minister of Agriculture and Agri-Food"
LPC-083,"Support modern water management practices and safeguard local water resources as part of the freshwater action plan.","Minister of Environment and Climate Change","Julie Dabrusin","Minister of Agriculture and Agri-Food"
LPC-084,"Keep Canada's supply management off the table in any negotiations with the U.S. Protect Canada's commitment to supply management and supply-managed sectors, including dairy, poultry, and eggs.","Minister of Agriculture and Agri-Food","Heath MacDonald","President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of International Trade"
LPC-085,"Make permanent the doubling of revenue protection for farmers under the AgriStability Program, from $3 million to $6 million per farm, in the case of significant revenue drops caused by tariffs, extreme weather events, and other external shocks.","Minister of Agriculture and Agri-Food","Heath MacDonald","Minister of Finance"
LPC-086,"Build more domestic processing capacity, including food processing capacity in rural and remote areas, with a new $200 million Domestic Food Processing Fund, applicable to both agricultural and fisheries products. This could include processing milk into baby formula.","Minister of Agriculture and Agri-Food","Heath MacDonald","Minister of Fisheries; Minister of Finance; Secretary of State (Rural Development)"
LPC-087,"Increase support for farmers, ranchers, and producers, including in the fish and seafood sectors, to access new markets for their food products with an additional $30 million in the AgriMarketing Program.","Minister of Agriculture and Agri-Food","Heath MacDonald","Minister of Fisheries; Minister of International Trade; Minister of Finance"
LPC-088,"Increase the support for farmers and ranchers to buy more efficient farm equipment.","Minister of Agriculture and Agri-Food","Heath MacDonald","Minister of Finance"
LPC-089,"Double the loan guarantee limit, from $500,000 to $1 million, of the Canadian Agricultural Loans Act Program and expand terms to 20 years.","Minister of Agriculture and Agri-Food","Heath MacDonald","Minister of Finance"
LPC-090,"Work with the National School Food Program and provinces and territories to prioritize the purchasing of Canadian food products as much as possible, supporting our farmers and ensuring Canadian kids have access to local, fresh food grown and caught right here in Canada.","Minister of Jobs and Families","Patty Hajdu","Minister of Agriculture and Agri-Food; Secretary of State (Children and Youth); President of the King’s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy"
LPC-091,"Work with the Canada Food Inspection Agency to ensure mutual recognition of food safety standards with reliable trading partners. This will cut red tape to accelerate access to new technology approvals without compromising health and safety.","Minister of Agriculture and Agri-Food","Heath MacDonald","Minister of Health; Minister of International Trade"
LPC-092,"Invest an additional $250 million in the repair and maintenance of small craft harbours.","Minister of Fisheries","Joanne Thompson","Minister of Finance"
LPC-093,"Help our fisheries respond to tariffs and reduce the risk involved in expanding to new markets by creating a new Arctic Fisheries Fund, and revamping the Atlantic Fisheries Fund, the Quebec Fisheries Fund, and the British Columbia Salmon Restoration and Innovation Fund, increasing funding by 20% for each.","Minister of Fisheries","Joanne Thompson","Minister of Finance; Minister of International Trade; Minister of Northern and Arctic Affairs; Minister responsible for the Atlantic Canada Opportunities Agency; Minister responsible for Canada Economic Development for Quebec Regions; Minister responsible for Pacific Economic Development Canada"
LPC-094,"Protect marine life and clean up our shores. Work to clean up ghost gear through new innovations, such as AI-powered data analysis and satellite imagery, GPS-enabled buoys, RFID tags, and acoustic sensors to retrieve ghost gear in real time.","Minister of Fisheries","Joanne Thompson","Minister of Environment and Climate Change; Minister of Artificial Intelligence and Digital Innovation"
LPC-095,"Continue to implement an efficient gun buyback program for assault-style firearms.","Minister of Public Safety","Gary Anandasangaree","Minister of Finance"
