commitment_id,canonical_commitment_text,appears_in,reporting_lead_title,all_other_ministers_involved,notes_and_differences
LPC-014,Advance nation-building infrastructure projects through the recently doubled Indigenous Loan Guarantee Program from $5 billion to $10 billion and increasing the sectoral scope.,Platform Only,Minister of Finance,Minister of Indigenous Services; Minister of Crown-Indigenous Relations; Minister of Housing and Infrastructure; Minister of Energy and Natural Resources,Platform-specific commitment. The doubling of the Indigenous Loan Guarantee Program is also in LPC-209 and SFT_040.
LPC-015,"Build out Canada's east-west electricity grid, a nation-building transmission project developed with provinces, territories, and Indigenous partners, and stakeholders.",Platform Only,Minister of Energy and Natural Resources,"Minister of Housing and Infrastructure; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Environment and Climate Change; Minister of Crown-Indigenous Relations; Minister of Indigenous Services",Platform-specific commitment.
LPC-016,Make rural and small communities more affordable and accessible through investing an additional $250 million in the Rural Transit Solutions Fund.,Platform Only,Secretary of State (Rural Development),Minister of Transport and Internal Trade; Minister of Housing and Infrastructure; Minister of Finance,Platform-specific commitment.
LPC-017,"Invest in digital infrastructure for the economy of tomorrow. Catalyze the construction and development of AI infrastructure including data storage facilities, computing capacity, high speed, safe and reliable communication networks, and digital supply chain solutions to improve efficiency and reduce costs for Canadians. This will include improving rural broadband and reliable cell service that connects communities.",Platform Only,Minister of Artificial Intelligence and Digital Innovation,Minister of Industry; Secretary of State (Rural Development); Minister of Finance,Platform-specific commitment.
LPC-018,Provide disaster mitigation and recovery funding where infrastructure that connects Canada is under threat.,Platform Only,Minister of Emergency Management and Community Resilience,Minister of Housing and Infrastructure; Minister of Public Safety; Minister of Environment and Climate Change; Minister of Finance,Platform-specific commitment.
LPC-019,"Build critical health infrastructure like hospitals, clinics, and long-term care facilities by working with provinces and territories.",Platform Only,Minister of Health,"Minister of Housing and Infrastructure; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Finance",Platform-specific commitment. Related to LPC-139.
LPC-020,Build community infrastructure that brings communities together. Engage with municipalities that make progress on housing first.,Platform Only,Minister of Housing and Infrastructure,Minister of Emergency Management and Community Resilience,Platform-specific commitment.
LPC-021,Make buildings more accessible by increasing funding to the Enabling Accessibility Fund to ensure that workplaces are accessible and incorporating more barrier-free and barrier-free ready designs into upcoming housing catalogues and into Canada's building efforts so that new housing is accessible to all Canadians.,Platform Only,Minister of Jobs and Families,"Minister of Housing and Infrastructure; Minister of Government Transformation, Public Works and Procurement; Minister of Finance",Platform-specific commitment.
LPC-022,Get big projects built quickly by establishing \u201cOne Window\u201d project decisions through a Major Federal Project Office and effectively shifting the focus of project review from \u201cwhy\u201d to \u201chow.\u201d,Both,President of the Treasury Board,"Minister of Government Transformation, Public Works and Procurement; Minister of Housing and Infrastructure; Minister of Energy and Natural Resources; Minister of Transport and Internal Trade",Matches SFT_010 (creation of a new Major Federal Project Office). Platform specifies 'One Window' decisions and the 'why to how' shift in project review.
LPC-023,"Require the new Major Federal Project Office to render final decisions on projects on a maximum two-year timeline, much faster than the former government's five-year timeline.",Platform Only,President of the Treasury Board,Minister of Justice and Attorney General of Canada,Platform-specific detail related to LPC-022 and SFT_010.
LPC-024,"Move forward with One Project, One Review. Within six months, sign Cooperation and Substitution Agreements with all willing Premiers, as well as Indigenous Governing Bodies, allowing the federal government to recognize provincial, territorial, and Indigenous-led assessments.",Both,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Minister of Environment and Climate Change; Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Justice and Attorney General of Canada,"Matches SFT_011 (strike co-operation agreements with P/T within six months for 'one project, one review'). Platform additionally includes Indigenous Governing Bodies in these agreements."
LPC-025,"Advance Indigenous participation in major projects to ensure First Nations, Inuit and M\u00e9tis rights-holders are a part of Canada's accelerated push to build.",Platform Only,Minister of Crown-Indigenous Relations,Minister of Indigenous Services; Minister of Housing and Infrastructure; Minister of Energy and Natural Resources; Minister of Finance,Platform-specific commitment.
LPC-026,"Double capacity support so more Indigenous communities can take an active role in project decisions at various stages, and to improve meaningful and immediate participation.",Platform Only,Minister of Indigenous Services,Minister of Crown-Indigenous Relations; Minister of Finance,Platform-specific commitment. Related to LPC-220.
LPC-027,Enshrine and protect CBC/Radio Canada by introducing legislation to establish statutory funding.,Both,Minister of Canadian Identity and Culture,Minister of Finance; Leader of the Government in the House of Commons; Minister of Justice and Attorney General of Canada,Matches SFT_034 (general determination to protect institutions like CBC/Radio-Canada). Platform is specific about introducing legislation for statutory funding.
LPC-028,"Strengthen CBC/Radio Canada's mandate by: Developing a governance plan with CBC/Radio Canada to improve accountability, empower leadership, streamline processes and tap into the spirit of innovation.",Platform Only,Minister of Canadian Identity and Culture,nan,Platform-specific detail for strengthening CBC/Radio-Canada.
LPC-029,"Strengthen CBC/Radio Canada's mandate by: Equipping them to further promote and support Canadian culture including Quebec's unique culture, which is at the heart of our national identity.",Platform Only,Minister of Canadian Identity and Culture,nan,Platform-specific detail for strengthening CBC/Radio-Canada.
LPC-030,"Strengthen CBC/Radio Canada's mandate by: Strengthening local news, so that all Canadians have access to timely, relevant and reliable news.",Platform Only,Minister of Canadian Identity and Culture,nan,Platform-specific detail for strengthening CBC/Radio-Canada.
LPC-031,Strengthen CBC/Radio Canada's mandate by: Adding to their mandate the clear and consistent transmission of life-saving information during emergencies.,Platform Only,Minister of Canadian Identity and Culture,Minister of Public Safety; Minister of Emergency Management and Community Resilience,Platform-specific detail for strengthening CBC/Radio-Canada.
LPC-032,Strengthen CBC/Radio Canada's mandate by: Including a commitment of including Indigenous perspectives.,Platform Only,Minister of Canadian Identity and Culture,Minister of Crown-Indigenous Relations; Minister of Indigenous Services,Platform-specific detail for strengthening CBC/Radio-Canada.
LPC-033,Strengthen CBC/Radio Canada's mandate by: Fully equipping them to combat disinformation so that Canadians have a news source they know and trust.,Platform Only,Minister of Canadian Identity and Culture,Minister of Public Safety,Platform-specific detail for strengthening CBC/Radio-Canada.
LPC-034,Strengthen CBC/Radio Canada's mandate by: Bolstering innovation and investing in new digital tools so that they can deliver the news when and how Canadians want it.,Platform Only,Minister of Canadian Identity and Culture,Minister of Artificial Intelligence and Digital Innovation,Platform-specific detail for strengthening CBC/Radio-Canada.
LPC-035,Provide an initial $150 million boost in annual funding while directing CBC/Radio Canada to develop a strategic plan consistent with this new mandate. Work towards bringing CBC/Radio Canada's long-term funding levels in line with the average funding of other national public broadcasters over time.,Platform Only,Minister of Canadian Identity and Culture,Minister of Finance; President of the Treasury Board,Platform-specific funding detail for CBC/Radio-Canada.
LPC-036,"Support Canadian artists and creators by increasing funding to agencies such as the Canada Council for the Arts, Telefilm, the Canada Media Fund, and the National Film Board, recognizing the economic importance of Canada's creative industries and creators.",Platform Only,Minister of Canadian Identity and Culture,Minister of Finance,Platform-specific commitment.
LPC-037,"Introduce a Canada Strong Pass for three months this summer. The Canada Strong Pass will provide children and youth under the age of 18 with free access to Canada's incredible national galleries and museums, and free seats on VIA Rail when they travel with their parents. Work with willing provinces and territories to establish similar pricing structures in our beautiful provincial museums and galleries. This pass will be available from June to August 2025. Also introduce heavily discounted access and fares for young Canadians aged 18-24.",Platform Only,Minister of Canadian Identity and Culture,"Minister of Transport and Internal Trade; Secretary of State (Children and Youth); Minister of Finance; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment. Related to LPC-182.
LPC-038,Make access to National Parks and Historic Sites free this summer for everyone. Also reduce prices for camping sites in national parks for all Canadians from June to August.,Platform Only,Minister of Environment and Climate Change,Secretary of State (Nature); Minister of Finance,Platform-specific commitment. Related to LPC-170.
LPC-039,"Make it easy for Canadians to Buy Canadian. Working with retailers, agricultural producers, manufacturers, food and beverage companies, and by maximizing Canada's supply chain increase transparency and increase stringency in origin of product labelling so that it is simple, clear, and easy to identify what is a truly Canadian product. Provide support to help manufacturers adapt and for the Competition Bureau to enforce these new requirements.",Platform Only,Minister of Industry,"Minister of Agriculture and Agri-Food; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Finance",Platform-specific commitment.
LPC-040,"Deploy a made-in-Canada procurement strategy that prioritizes, whenever possible, Canadian suppliers and supply chains, and limiting bidders from foreign suppliers to bidding only on what we have agreed to in Canada's Free Trade Agreements. Prioritize Canadian contractors in our defence procurement, including the Canadian aerospace industry. Crown Corporations with major capital acquisitions, like VIA Rail, will also be encouraged to meet this standard.",Platform Only,"Minister of Government Transformation, Public Works and Procurement",Secretary of State (Defence Procurement); Minister of National Defence; Minister of Industry; Minister of Transport and Internal Trade; President of the Treasury Board,Platform-specific commitment.
LPC-041,"Buy Canadian clean by prioritizing Government of Canada purchases to be low carbon emission and when applicable, sustainability certified products and materials. This includes building materials, vehicle fleets, and other goods and services.",Platform Only,"Minister of Government Transformation, Public Works and Procurement",Minister of Environment and Climate Change; President of the Treasury Board; Minister of Industry,Platform-specific commitment.
LPC-042,"Establish Buy Canadian standards for federal infrastructure funding including maximizing Canadian steel, aluminum, and forestry products.",Platform Only,Minister of Housing and Infrastructure,"Minister of Industry; Minister of Energy and Natural Resources; Minister of Government Transformation, Public Works and Procurement",Platform-specific commitment.
LPC-043,"Leverage government funding to prioritize and procure Canadian-built vehicles, catalyzing domestic investment to grow the Canadian auto industry.",Platform Only,Minister of Industry,"Minister of Government Transformation, Public Works and Procurement; Minister of Transport and Internal Trade; Minister of Finance",Platform-specific commitment.
LPC-044,"Bet on Canadian innovators and entrepreneurs by leveraging the government's purchasing power to drive Canadian innovation, solving Canadian problems in new ways, and improving efficiency and service delivery, while supporting our small and medium-sized businesses.",Platform Only,"Minister of Government Transformation, Public Works and Procurement",Minister of Industry; Minister of Artificial Intelligence and Digital Innovation; Secretary of State (Small Business and Tourism),Platform-specific commitment.
LPC-045,Investments will be spent wisely and effectively to put Canada on track to exceed our NATO defence spending target before 2030.,Both,Minister of National Defence,Minister of Finance; Secretary of State (Defence Procurement),"Matches SFT_020, SFT_021, and SFT_022 which are general commitments to rebuild, rearm, and reinvest in the Canadian Armed Forces. Platform specifies exceeding NATO defence spending target before 2030."
LPC-046,Give a pay raise to CAF members to recognize that we are asking more of them as Canada steps up to defend our sovereignty.,Platform Only,Minister of National Defence,President of the Treasury Board; Minister of Finance,"Platform-specific commitment, part of broader reinvestment in CAF."
LPC-047,"Give better support to our CAF members, through investments in housing, health care, and child care. This means rapidly increasing the stock of high-quality housing on bases across the country and ensuring access to primary child care and health care \u2013 including mental health supports - for serving members and their families.",Platform Only,Minister of National Defence,Minister of Housing and Infrastructure; Minister of Health; Minister of Jobs and Families; Secretary of State (Children and Youth); Minister of Finance,"Platform-specific commitment, part of broader reinvestment in CAF."
LPC-048,"Modernize our recruitment process, including by streamlining security clearances and applying online, so that more applicants can get trained, faster.",Platform Only,Minister of National Defence,President of the Treasury Board,"Platform-specific commitment, part of broader reinvestment in CAF."
LPC-049,Address the external recommendations to combat military sexual misconduct.,Platform Only,Minister of National Defence,Minister of Justice and Attorney General of Canada,Platform-specific commitment.
LPC-050,"Expand our ability to monitor our coastlines and secure Canada's Arctic, including with new submarines for the Royal Canadian Navy and additional heavy icebreakers, building on our commitment to all orders underway through the National Shipbuilding Strategy.",Platform Only,Minister of National Defence,Secretary of State (Defence Procurement); Minister of Fisheries; Minister of Northern and Arctic Affairs,Platform-specific defence procurement detail.
LPC-051,"Expand our fleet of aerial and underwater drones to build a persistent presence in the air and sea, including persistent surveillance to protect against threats in the Arctic and at our border. Work to build Canadian industry through defence partnerships and by leveraging domestic innovations.",Platform Only,Minister of National Defence,Secretary of State (Defence Procurement); Minister of Industry,Platform-specific defence procurement detail.
LPC-052,"Buy Canadian-made airborne early warning and control aircraft, supporting our domestic aerospace industry and accelerating the procurement process.",Platform Only,Minister of National Defence,"Secretary of State (Defence Procurement); Minister of Industry; Minister of Government Transformation, Public Works and Procurement",Platform-specific defence procurement detail.
LPC-053,"Support the Canadian Army with significant new investments, such as new self-propelled artillery systems and ground-based air defence capabilities so that the CAF have the capacity to operate in today's context.",Platform Only,Minister of National Defence,Secretary of State (Defence Procurement); Minister of Finance,Platform-specific defence investment detail.
LPC-054,Give the Canadian Coast Guard a new mandate and the right equipment to conduct maritime surveillance operations to secure our coasts. Expanding the reach and abilities of the Canadian Coast Guard will also mean integrating them into Canada's NATO defence capabilities.,Platform Only,Minister of Fisheries,Minister of National Defence; Minister of Public Safety; Secretary of State (Defence Procurement),Platform-specific commitment.
LPC-055,Invest in our Reserves and Canadian Rangers to give them the equipment they need to continue protecting our sovereignty and conduct domestic disaster responses that directly helps Canadians.,Platform Only,Minister of National Defence,Minister of Finance; Minister of Emergency Management and Community Resilience,Platform-specific commitment.
LPC-056,"Establish the Bureau of Research, Engineering and Advanced Leadership in Science (BOREALIS) to ensure the Canadian Armed Forces and Communications Security Establishment have the made-in-Canada innovation solutions they need in areas such as AI, quantum computing, cybersecurity, and other advanced research and technology.",Platform Only,Minister of National Defence,Minister of Artificial Intelligence and Digital Innovation; Minister of Industry; Minister of Public Safety,Platform-specific commitment.
LPC-057,Overhaul defence procurement to better meet our needs and the urgency of the moment by: Establishing a new Defence Procurement Agency.,Platform Only,Secretary of State (Defence Procurement),"Minister of National Defence; Minister of Government Transformation, Public Works and Procurement; President of the Treasury Board",Platform-specific commitment. Related to LPC-343.
LPC-058,"Overhaul defence procurement by: Amending legislation and regulations as required, including taking steps to expand risk-based approaches to approvals, to centralize expertise from across government and streamline the way we buy equipment for the military.",Platform Only,Secretary of State (Defence Procurement),"Minister of Justice and Attorney General of Canada; Minister of National Defence; Minister of Government Transformation, Public Works and Procurement; President of the Treasury Board",Platform-specific detail for defence procurement overhaul.
LPC-059,"Overhaul defence procurement by: Buying Canadian whenever possible and prioritizing Canadian raw materials such as steel, aluminum and critical minerals.",Platform Only,Secretary of State (Defence Procurement),"Minister of Government Transformation, Public Works and Procurement; Minister of National Defence; Minister of Industry; Minister of Energy and Natural Resources",Platform-specific detail for defence procurement overhaul.
LPC-060,"Boosting Canada's domestic defence industries and production as we build security relationships with our partners. That includes advancing Canada's involvement in the ReArm Europe Plan in support of transatlantic security, and prioritizing investment here in Canada \u2013 with every dollar spent wisely and effectively.",Both,Minister of National Defence,Minister of Industry; Minister of Foreign Affairs; Secretary of State (Defence Procurement); Minister of Finance,Matches SFT_023 (boost defence industry by joining ReArm Europe) and SFT_024 (invest in transatlantic security). Platform links these actions and emphasizes domestic investment.
LPC-061,"Work closely with Arctic and Northern Indigenous leadership as partners, in defence and security investments that respect their rights, incorporate traditional knowledge, and ensure community priorities are reflected, especially on targeted investments in dual-use infrastructure such as airstrips and other critical infrastructure.",Platform Only,Minister of Northern and Arctic Affairs and Minister responsible for the Canadian Northern Economic Development Agency,Minister of National Defence; Minister of Crown-Indigenous Relations; Minister of Indigenous Services,Platform-specific commitment regarding Arctic defence and Indigenous partnership.
LPC-062,"Strengthen the presence of Canadian Armed Forces in the Arctic to protect the sovereignty of our land, air, and sea, including through a network of deepwater ports that will allow us to protect the Northwest Passage year-round.",Both,Minister of National Defence,Minister of Northern and Arctic Affairs; Minister of Transport and Internal Trade; Minister of Housing and Infrastructure,Matches SFT_025 (invest to strengthen presence in the North). Platform specifies CAF presence and deepwater ports for Arctic sovereignty.
LPC-063,Move forward to detect and deter early warning radar coverage of threats to the Arctic by working with partners in Australia to develop advanced Over-the-Horizon Radar. This will also help deepen our defence and trade ties with Australia.,Platform Only,Minister of National Defence,Minister of Foreign Affairs; Minister of International Trade,Platform-specific defence technology commitment.
LPC-064,"Invest in Northern infrastructure, including a new hydroelectricity project and other energy projects, so that people have access to safe, reliable energy; improve housing stock, accelerate housing development, and meet growing housing demand. Also invest in new port projects, railways, airstrips, and highways, all with dual-use capabilities. This work will be undertaken with Arctic and Northern Indigenous partners.",Platform Only,Minister of Northern and Arctic Affairs and Minister responsible for the Canadian Northern Economic Development Agency,Minister of Housing and Infrastructure; Minister of Energy and Natural Resources; Minister of Transport and Internal Trade; Minister of Crown-Indigenous Relations; Minister of Indigenous Services; Minister of Finance,"Platform-specific commitment for Northern infrastructure, related to SFT_025's intent."
LPC-065,Forge a new Canada-Europe Arctic security cooperation agreement that deepens ties in the North in recognition of the rapidly shifting security landscape.,Platform Only,Minister of Foreign Affairs,Minister of Northern and Arctic Affairs; Minister of National Defence,Platform-specific foreign policy commitment.
LPC-066,Expand our fleet of aerial and underwater drones as well as investments in Canadian satellite technology \u2013 to build a persistent presence across the North to monitor our vast landscape and the world's longest coastline by investing in made-in-Canada innovations.,Platform Only,Minister of National Defence,Minister of Northern and Arctic Affairs; Minister of Industry; Secretary of State (Defence Procurement),Platform-specific defence technology commitment for Northern surveillance.
LPC-067,Improve health services and support for women Veterans' health by launching a health research study on the experience of women Veterans to ensure proper data is collected so that its service delivery can capture the increase of women Veterans transitioning to civilian life and ultimately improve their health outcomes.,Platform Only,Minister of Veterans Affairs,Minister of Health; Minister of Women and Gender Equality,Platform-specific commitment.
LPC-068,"Modernize and streamline the benefits system, to deliver faster decisions, shorter wait times, and less paperwork so that Veterans and their families get the support they need sooner and more easily.",Platform Only,Minister of Veterans Affairs,President of the Treasury Board,Platform-specific commitment.
LPC-069,"Make it easier for Veterans to get jobs by working with provinces and territories to streamline the recognition of military trade credentials in the civilian world, so that qualified Veterans do not needlessly retrain once they leave the military. Also work to make it easier to maintain a security clearance when necessary after retirement so Veterans can continue contributing to the protection of Canadian sovereignty.",Platform Only,Minister of Veterans Affairs,"Minister of Jobs and Families; President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of Public Safety",Platform-specific commitment.
LPC-070,"Expand recognition of service by reviewing the designation of certain military missions, including in the Persian Gulf, so that Veterans' sacrifices in conflict zones are properly recognized. This would be done in consultation with Veterans groups, CAF, and Veterans Affairs Canada to ensure we develop clear recognition for their service.",Platform Only,Minister of Veterans Affairs,Minister of National Defence,Platform-specific commitment.
LPC-071,"Expand culturally relevant services for Indigenous Veterans in consultation with First Nation, Inuit, and M\u00e9tis peoples.",Platform Only,Minister of Veterans Affairs,Minister of Indigenous Services; Minister of Crown-Indigenous Relations,Platform-specific commitment.
LPC-072,"Preserve the National Field of Honour through work with the Last Post Fund to assume ownership of the National Field of Honour in Montreal, so that it remains an appropriate and respectful final resting place for Veterans.",Platform Only,Minister of Veterans Affairs,Minister of Canadian Identity and Culture,Platform-specific commitment.
LPC-073,Respond to existing U.S. tariffs on our economy for as long as is necessary while also ensuring that we are safeguarding Canadian industry from the threat of trade diversion. Every dollar raised from these tariffs will support Canadian workers and businesses affected by the trade war.,Platform Only,Minister of Finance,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy; Minister of International Trade; Minister of Industry",Platform-specific commitment.
LPC-074,"Create a $2 billion Strategic Response Fund to boost our auto sector's competitiveness, protect manufacturing jobs, support workers to upskill their expertise in the industry, and build a fortified Canadian supply chain \u2013 from raw materials to finished vehicles.",Platform Only,Minister of Industry,Minister of Finance; Minister of Jobs and Families,Platform-specific commitment.
LPC-075,"Build an ""All-in-Canada\u201d network for auto manufacturing component parts. With this network, work with industry to build more car parts in Canada, limit those parts crossing the border during production, and attract investment into our own industry.",Platform Only,Minister of Industry,"President of the King\u2019s Privy Council for Canada and Minister responsible for Canada-U.S. Trade, Intergovernmental Affairs and One Canadian Economy",Platform-specific commitment.
LPC-076,"Maximize Canada's steel, aluminum, and critical minerals - from exploration to battery production - to seize this economic opportunity, create higher-paying jobs, and build the strongest economy in the G7.",Platform Only,Minister of Energy and Natural Resources,Minister of Industry; Minister of Finance,Platform-specific commitment.
LPC-077,"Safeguard our economy and our values and protect Canada from attempts to buy up our businesses, our core public health care, intellectual property, critical minerals and other resources by strengthening the Investment Canada Act. Make more transactions reviewable, as well as modernizing standards to capture manipulative transaction models \u2013 including by reviewing the potential impacts to Canada's data sovereignty. Also make clear that any transactions involving core infrastructure in our public health system, such as long-term care facilities and family health practices, will be subject to stringent review and protection under the Act.",Platform Only,Minister of Industry,Minister of Finance; Minister of Health; Minister of Justice and Attorney General of Canada,Platform-specific commitment.
LPC-078,"Strengthen Canada's food security by investing in greenhouses, hydroponics, and other controlled environment agriculture that allow us to grow more types of food, here at home. Work with the private sector to protect Canadian food security.",Platform Only,Minister of Agriculture and Agri-Food,Minister of Industry; Minister of Finance,Platform-specific commitment.
LPC-079,Work to increase the resilience of food supply chains and support innovation.,Platform Only,Minister of Agriculture and Agri-Food,Minister of Industry; Minister of Transport and Internal Trade,Platform-specific commitment.
LPC-080,Amend the mandates of the Canadian Food Inspection Agency and the Pest Management Regulatory Agency to ensure they consider food security and the cost of food in all their regulatory decisions without compromising on health and safety.,Platform Only,Minister of Agriculture and Agri-Food,Minister of Health,Platform-specific commitment.
LPC-081,"Direct the Canada Infrastructure Bank to prioritize investments in agriculture, fisheries, agri-food, and the food supply chain, particularly those that improve food security and reduce the cost of food for Canadian families, unlocking potentially billions in investment for the sector.",Platform Only,Minister of Finance,Minister of Agriculture and Agri-Food; Minister of Fisheries; Minister of Housing and Infrastructure,Platform-specific commitment.
LPC-082,"Help Canadian farmers get their goods to market at low cost, particularly in Alberta, Manitoba, and Saskatchewan. Do this by extending the Extended Railway Interswitching pilot by three years. As part of our commitment to support Canadian workers, explore all options to exclude non-Canadian railways from being included in this project.",Platform Only,Minister of Transport and Internal Trade,Minister of Agriculture and Agri-Food,Platform-specific commitment.
LPC-083,Support modern water management practices and safeguard local water resources as part of the freshwater action plan.,Platform Only,Minister of Environment and Climate Change,Minister of Agriculture and Agri-Food,Platform-specific commitment.
