department,count
"Immigration, Refugees and Citizenship Canada (IRCC)",2
Prairies Economic Development Canada (PrairiesCan),3
Federal Economic Development Agency for Northern Ontario (FedNor),1
Employment and Social Development Canada; Transport Canada,1
PacifiCan,3
Infrastructure and Communities,2
Labour and Seniors,1
Infrastructure and Communities Canada,2
"Diversity, Inclusion and Persons with Disabilities",4
Prime Minister's Office,2
Emergency Preparedness,1
Federal Economic Development Agency for Northern Ontario,1
Economic Development Agency of Canada for the Regions of Quebec,1
"Employment, Workforce Development and Official Languages",2
Department of National Defence and Veterans Affairs Canada,1
Indigenous Services Canada; Health Canada,1
Department of Justice / Public Safety Canada,1
Emergency Preparedness Canada,1
Library and Archives Canada,1
"Public Safety, Democratic Institutions and Intergovernmental Affairs",5
Indigenous Services Canada; Crown-Indigenous Relations and Northern Affairs Canada,1
Employment and Social Development Canada (ESDC),1
Canadian Space Agency,2
Canadian Radio-television and Telecommunications Commission,3
Sport Canada,2
"Export Promotion, International Trade and Economic Development",2
"Indigenous Services, Crown-Indigenous Relations",1
Treasury Board,1
"Minister of Diversity, Inclusion and Persons with Disabilities",2
Natural Resources Canada and Environment and Climate Change Canada,1
Fisheries and Oceans Canada and Environment and Climate Change Canada,1
Rural Economic Development Canada,1
Public Service Commission of Canada,2
"Department of Diversity, Inclusion and Persons with Disabilities",1
"Department of Families, Children and Social Development",1
Global Affairs Canada; National Defence,1
"Department of Housing, Infrastructure and Communities",2
Minister of Small Business and Tourism,1
"Minister of Housing, Infrastructure and Communities",1
"Families, Children and Social Development",1
"Indigenous Services Canada, Crown-Indigenous Relations and Northern Affairs Canada",1
Canadian Security Intelligence Service,1
Competition Bureau Canada,1
"Transport Canada and Innovation, Science and Economic Development Canada",1
CanNor,3
Royal Canadian Mint,1
Canadian Northern Economic Development Agency (CanNor),2
FedDev Ontario,1
"Veterans Affairs Canada, National Defence, Global Affairs Canada, Public Safety Canada",1
Energy and Natural Resources,1
Canadian Food Inspection Agency (CFIA),1
"Environment and Climate Change Canada, Indigenous Services Canada",1
Canada Mortgage and Housing Corporation (CMHC),1
"Housing, Infrastructure and Communities",2
"Innovation, Science and Industry",2
Energy and Natural Resources Canada,1
Women and Gender Equality,1
Citizens' Services,2
Minister of Seniors,1
Canada Mortgage and Housing Corporation,2
Public Safety Canada; Privy Council Office,1
Transport Canada; Public Services and Procurement Canada,1
Public Service Commission,1
Canada Revenue Agency; Employment and Social Development Canada,1
International Development,1
Not specified in text,1
"Natural Resources Canada; Innovation, Science and Industry Canada",1
Public Health Agency of Canada; Indigenous Services Canada,1
Canada Deposit Insurance Corporation (CDIC),1
"Veterans Affairs Canada, Department of National Defence",1
Emergency Management and Community Resilience,1
